plural,singular
abscissae,abscissa
addenda,addendum
agenda,agendum
algae,alga
alumni,alumnus
alumnae,alumna
analyses,analysis
antennae,antenna
antitheses,antithesis
aphelia,aphelion
appendices,appendix
axes,axis
bacilli,bacillus
bacteria,bacterium
bases,basis
beaux,beau
bureaux,bureau
bus,bus
buses,bus
calves,calf
cacti,cactus
chateaux,chateau
cherubim,cherub
children,child
codices,codex
concerti,concerto
consortia,consortium
corpora,corpus
cortices,cortex
crania,cranium
criteria,criterion
crises,crisis
curricula,curriculum
data,datum
diagnoses,diagnosis
dice,die
echoes,echo
ellipses,ellipsis
emporia,emporium
encomia,encomium
errata,erratum
firemen,fireman
feet,foot
foci,focus
formulae,formula
fungi,fungus
ganglia,ganglion
gateaux,gateau
genera,genus
genies,genie
gentlemen,gentleman
geese,goose
ghettos,ghetto
graffiti,graffito
halves,half
heroes,hero
hippopotami,hippopotamus
hooves,hoof
hypotheses,hypothesis
indices,index
knives,knife
larvae,larva
leaves,leaf
libretti,libretto
lives,life
loaves,loaf
loci,locus
lice,louse
men,man
matrices,matrix
media,medium
memoranda,memorandum
metamorphoses,metamorphosis
mice,mouse
millennia,millennium
minutiae,minutia
nebulae,nebula
nemeses,nemesis
neuroses,neurosis
nuclei,nucleus
oases,oasis
octopi,octopus
ova,ovum
oxen,ox
parentheses,parenthesis
paralyses,paralysis
passersby,passerby
people,person
phenomena,phenomenon
phyla,phylum
plateaux,plateau
policemen,policeman
potatoes,potato
prognoses,prognosis
quanta,quantum
quizzes,quiz
radii,radius
referenda,referendum
scarves,scarf
selves,self
seraphim,seraph
shelves,shelf
species,species
spectra,spectrum
stadia,stadium
stimuli,stimulus
stomata,stoma
strata,stratum
syllabi,syllabus
symposia,symposium
synopses,synopsis
syntheses,synthesis
tableaux,tableau
theses,thesis
thieves,thief
tomatoes,tomato
teeth,tooth
torpedoes,torpedo
vertebrae,vertebra
vertices,vertex
vetoes,veto
vitae,vita
volcanoes,volcano
vortices,vortex
wharves,wharf
wives,wife
wolves,wolf
women,woman
moves,move
loves,love
hives,hive
drives,drive
gives,give
elves,elf
cliffs,cliff
handkerchiefs,handkerchief
chiefs,chief
roofs,roof
proofs,proof
beliefs,belief
sheriffs,sheriff
tariffs,tariff
oafs,oaf
turfs,turf
dwarfs,dwarf
scarfs,scarf
wharfs,wharf
