form,infinitive
was,be
were,be
been,be
being,be
beaten,beat
became,become
becomes,become
becoming,become
began,begin
begun,begin
begins,begin
beginning,begin
bent,bend
bends,bend
bending,bend
bit,bite
bitten,bite
bites,bite
biting,bite
bled,bleed
bleeds,bleed
bleeding,bleed
blew,blow
blown,blow
blows,blow
blowing,blow
broke,break
broken,break
breaks,break
breaking,break
bred,breed
breeds,breed
breeding,breed
brought,bring
brings,bring
bringing,bring
broadcast,broadcast
broadcasts,broadcast
broadcasting,broadcast
built,build
builds,build
building,build
burnt,burn
burned,burn
burns,burn
burning,burn
burst,burst
bursts,burst
bursting,burst
bought,buy
buys,buy
buying,buy
caught,catch
catches,catch
catching,catch
chose,choose
chosen,choose
chooses,choose
choosing,choose
came,come
comes,come
coming,come
crept,creep
creeps,creep
creeping,creep
dealt,deal
deals,deal
dealing,deal
did,do
done,do
does,do
doing,do
dove,dive
dives,dive
diving,dive
drew,draw
drawn,draw
draws,draw
drawing,draw
dreamt,dream
dreamed,dream
dreams,dream
dreaming,dream
drank,drink
drunk,drink
drinks,drink
drinking,drink
drove,drive
driven,drive
drives,drive
driving,drive
ate,eat
eaten,eat
eats,eat
eating,eat
fell,fall
fallen,fall
falls,fall
falling,fall
fed,feed
feeds,feed
feeding,feed
felt,feel
feels,feel
feeling,feel
fought,fight
fights,fight
fighting,fight
found,find
finds,find
finding,find
fled,flee
flees,flee
fleeing,flee
flew,fly
flown,fly
flies,fly
flying,fly
forbade,forbid
forbidden,forbid
forbids,forbid
forbidding,forbid
forgot,forget
forgotten,forget
forgets,forget
forgetting,forget
forgave,forgive
forgiven,forgive
forgives,forgive
forgiving,forgive
froze,freeze
frozen,freeze
freezes,freeze
freezing,freeze
got,get
gotten,get
gets,get
getting,get
gave,give
given,give
gives,give
giving,give
went,go
gone,go
goes,go
going,go
grew,grow
grown,grow
grows,grow
growing,grow
had,have
has,have
having,have
heard,hear
hears,hear
hearing,hear
hid,hide
hidden,hide
hides,hide
hiding,hide
held,hold
holds,hold
holding,hold
kept,keep
keeps,keep
keeping,keep
knelt,kneel
kneels,kneel
kneeling,kneel
knew,know
known,know
knows,know
knowing,know
laid,lay
lays,lay
laying,lay
led,lead
leads,lead
leading,lead
learnt,learn
learned,learn
learns,learn
learning,learn
left,leave
leaves,leave
leaving,leave
lay_lie,lie
lain,lie
lies,lie
lying,lie
lit,light
lights,light
lighting,light
lost,lose
loses,lose
losing,lose
made,make
makes,make
making,make
meant,mean
means,mean
meaning,mean
met,meet
meets,meet
meeting,meet
mistook,mistake
mistaken,mistake
mistakes,mistake
mistaking,mistake
paid,pay
pays,pay
paying,pay
rode,ride
ridden,ride
rides,ride
riding,ride
rang,ring
rung,ring
rings,ring
ringing,ring
rose,rise
risen,rise
rises,rise
rising,rise
ran,run
runs,run
running,run
said,say
says,say
saying,say
saw,see
seen,see
sees,see
seeing,see
sold,sell
sells,sell
selling,sell
sent,send
sends,send
sending,send
shook,shake
shaken,shake
shakes,shake
shaking,shake
shone,shine
shines,shine
shining,shine
shot,shoot
shoots,shoot
shooting,shoot
showed,show
shown,show
shows,show
showing,show
sang,sing
sung,sing
sings,sing
singing,sing
sank,sink
sunk,sink
sinks,sink
sinking,sink
sat,sit
sits,sit
sitting,sit
slept,sleep
sleeps,sleep
sleeping,sleep
slid,slide
slidden,slide
slides,slide
sliding,slide
smelt,smell
smells,smell
smelling,smell
spoke,speak
spoken,speak
speaks,speak
speaking,speak
spelt,spell
spells,spell
spelling,spell
spent,spend
spends,spend
spending,spend
spilt,spill
spilled,spill
spills,spill
spilling,spill
spoilt,spoil
spoiled,spoil
spoils,spoil
spoiling,spoil
sprang,spring
sprung,spring
springs,spring
springing,spring
stood,stand
stands,stand
standing,stand
stole,steal
stolen,steal
steals,steal
stealing,steal
struck,strike
strikes,strike
striking,strike
stuck,stick
sticks,stick
sticking,stick
stung,sting
stings,sting
stinging,sting
swept,sweep
sweeps,sweep
sweeping,sweep
swam,swim
swum,swim
swims,swim
swimming,swim
swung,swing
swings,swing
swinging,swing
took,take
taken,take
takes,take
taking,take
taught,teach
teaches,teach
teaching,teach
tore,tear
torn,tear
tears,tear
tearing,tear
told,tell
tells,tell
telling,tell
thought,think
thinks,think
thinking,think
threw,throw
thrown,throw
throws,throw
throwing,throw
understood,understand
understands,understand
understanding,understand
woke,wake
woken,wake
wakes,wake
waking,wake
wore,wear
worn,wear
wears,wear
wearing,wear
wove,weave
woven,weave
weaves,weave
weaving,weave
wept,weep
weeps,weep
weeping,weep
won,win
wins,win
winning,win
wrote,write
written,write
writes,write
writing,write
swore,swear
sworn,swear
swears,swear
swearing,swear
dug,dig
digs,dig
digging,dig
hung,hang
hangs,hang
hanging,hang
sowed,sow
sown,sow
sows,sow
sowing,sow
mowed,mow
mown,mow
mows,mow
mowing,mow
clung,cling
clings,cling
clinging,cling
bore,bear
borne,bear
born,bear
bears,bear
bearing,bear
spat,spit
spits,spit
spitting,spit
dwelt,dwell
dwells,dwell
dwelling,dwell
knitted,knit
knits,knit
knitting,knit
speeded,speed
sped,speed
speeds,speed
speeding,speed
lit,light
lits,light
